filter_mode,confidence_threshold,directional_margin,under_confirm_ceiling,over_confirm_floor,max_discrepancy,bets,coverage,accuracy,roi_185,roi_190,roi_200,profit_190,max_losing_streak,over_bets,under_bets,over_accuracy,under_accuracy,avg_confidence
legacy_discrepancy,0.58,0.05,0.45,0.55,0.22,1696,0.23280713795470145,0.6132075471698113,0.13443396226415097,0.1650943396226415,0.22641509433962265,280.0,9,116,1580,0.75,0.6031645569620253,0.6154623505684678
hybrid_both,0.6,0.05,0.45,0.55,0.18,695,0.09540150995195608,0.6129496402877698,0.13395683453237414,0.16460431654676255,0.22589928057553957,114.39999999999998,6,4,691,0.5,0.613603473227207,0.6288428810033412
directional_consensus,0.58,0.03,0.47,0.53,,1511,0.2074124914207275,0.6128391793514228,0.13375248180013238,0.16439444076770346,0.2256783587028458,248.39999999999992,8,25,1486,0.64,0.6123822341857336,0.6218569792492021
hybrid_both,0.58,0.04,0.46,0.54,0.16,1028,0.14111187371310913,0.6118677042801557,0.13195525291828797,0.1625486381322957,0.2237354085603113,167.09999999999997,8,15,1013,0.6666666666666666,0.6110562685093781,0.614204238917798
directional_consensus,0.58,0.06,0.44,0.56,,809,0.11105010295126973,0.6118665018541409,0.13195302843016074,0.1625463535228677,0.22373300370828184,131.49999999999997,7,7,802,0.7142857142857143,0.6109725685785536,0.6270958845934913
hybrid_both,0.58,0.05,0.45,0.55,0.16,865,0.11873713109128346,0.6104046242774567,0.12924855491329484,0.1597687861271676,0.2208092485549133,138.2,8,9,856,0.7777777777777778,0.6086448598130841,0.6162462545163119
legacy_discrepancy,0.68,0.05,0.45,0.55,0.26,59,0.008098833218943034,0.6101694915254238,0.12881355932203392,0.15932203389830507,0.22033898305084745,9.399999999999999,3,2,57,0.5,0.6140350877192983,0.7014850520642216
hybrid_both,0.6,0.04,0.46,0.54,0.22,926,0.12711050102951268,0.6101511879049676,0.1287796976241901,0.15928725701943844,0.2203023758099352,147.5,7,9,917,0.5555555555555556,0.6106870229007634,0.6312257768606131
directional_consensus,0.58,0.05,0.45,0.55,,1097,0.15058339052848319,0.609845031905196,0.12821330902461262,0.15870556061987234,0.21969006381039197,174.09999999999997,7,10,1087,0.8,0.6080956761729531,0.6253990633482304
hybrid_both,0.58,0.04,0.46,0.54,0.18,1131,0.15525051475634866,0.6091954022988506,0.12701149425287359,0.15747126436781606,0.21839080459770116,178.09999999999997,7,15,1116,0.6666666666666666,0.6084229390681004,0.6165195155083929
